"X","rating","location","text"
231,5,"gb"," Hay day This game is amazing,you will never want to stop playing this game it is so addictive. The only thing I would change about it is that the prices are to high to buy the machines and get rid of stuff plus you normally can only buy something in more than a month because you don't have that much money other than that it is AWESOME!!!     :) :) :) :) :) :)."
232,3,"nz"," ait yeh its pretty addictive to a point"
233,5,"nz"," GOW rocks Awesome game highly addictive recommend to all 
Meet people join alliances have fun when playing <f0><U+009F><U+0098><U+0084><f0><U+009F><U+0098><U+0084><f0><U+009F><U+0098><U+0084><f0><U+009F><U+0098><U+0084>
Rule the kingdom what more can you ask for in a game
Thanks guys keep up the good work
<f0><U+009F><U+008C><U+00B9><f0><U+009F><U+008C><U+00B9><f0><U+009F><U+008C><U+00B9><f0><U+009F><U+008C><U+00B9><U+263A><U+263A><U+263A><U+263A>"
234,5,"au"," Best app ever Great app get it"
235,3,"au"," Nothing like I was hoping for! I thought it might be like black ops zombie but it's not.    Can we have online co-op atleast"
236,5,"au"," Very good but Can u please fix this bug it always kicks me out of the server can u please fix it thanks :)"
237,5,"au"," Fun game Great for when I want to relax after a long day at work"
238,5,"us"," Awesome I love it....addicting"
239,5,"au"," Amy Great!!"
240,2,"au"," Updated now it won't play Going along fine now all of a sudden after the last update it goes to the play screen, freezes and reset to the main iPad screen. Very disappointed. How do I fix this???"
241,5,"nz"," Plumbers crack This game is so cool I highly recommend it"
242,5,"gb"," The goats An amazing game and the graphics have got a lot better since the last update. If you are reading this please join the co op called the goats. We have great friends and fun."
243,4,"us"," 4 I suggest Order of Chaos its better by so much, but this game is alright"
244,4,"us"," Love I love this game I just don't like this version because it doesn't have the option to use the blue keys and I wish I could transfer phone to phone."
245,5,"au"," Awesome game Amazing fun and 100% addictive!"
246,5,"gb"," Fab Good fun to pass time"
247,5,"us"," Fun Game Simply fun and addictive game."
248,5,"us"," Fun Game Fun and exciting game!"
249,5,"au"," Amazing <f0><U+009F><U+0098><U+009D> Best game ever"
250,5,"us"," Amaaaazing! It's a really good game with good graphics and a good-simple story...I like every concept in the game, It's really cool to play...But you should fix that, Every time i finish a run, It asks me if i want it to let it post on my facebook, I denied, And after the next run...It asks me again!"
251,4,"us"," Wicked! Fun!"
252,4,"gb"," Farm Good game"
